年份,年龄组,性别,人数,情景
2053,80-84,女,280277.0,中
2053,85+,男,359480.6,中
2053,85+,女,590376.5,中
2054,0-4,男,79928.6,中
2054,0-4,女,75651.2,中
2054,5-9,男,89992.1,中
2054,5-9,女,85575.7,中
2054,10-14,男,92317.2,中
2054,10-14,女,88205.7,中
2054,15-19,男,96674.3,中
2054,15-19,女,93446.2,中
2054,20-24,男,107948.1,中
2054,20-24,女,105741.2,中
2054,25-29,男,122359.5,中
2054,25-29,女,120317.8,中
2054,30-34,男,149958.2,中
2054,30-34,女,146971.0,中
2054,35-39,男,195901.7,中
2054,35-39,女,191993.6,中
2054,40-44,男,219034.0,中
2054,40-44,女,215150.7,中
2054,45-49,男,216157.6,中
2054,45-49,女,216384.7,中
2054,50-54,男,223351.2,中
2054,50-54,女,225865.8,中
2054,55-59,男,253521.9,中
2054,55-59,女,255062.3,中
2054,60-64,男,272108.9,中
2054,60-64,女,284439.2,中
2054,65-69,男,263531.9,中
2054,65-69,女,295684.4,中
2054,70-74,男,242305.0,中
2054,70-74,女,300589.2,中
2054,75-79,男,218912.2,中
2054,75-79,女,297467.1,中
2054,80-84,男,188397.8,中
2054,80-84,女,280667.9,中
2054,85+,男,362263.8,中
2054,85+,女,603491.4,中
2055,0-4,男,77903.1,中
2055,0-4,女,73733.8,中
2055,5-9,男,88962.3,中
2055,5-9,女,84587.4,中
2055,10-14,男,92645.5,中
2055,10-14,女,88481.3,中
2055,15-19,男,96782.1,中
2055,15-19,女,93479.8,中
2055,20-24,男,107020.7,中
2055,20-24,女,104777.3,中
2055,25-29,男,121538.7,中
2055,25-29,女,119847.8,中
2055,30-34,男,141060.9,中
2055,30-34,女,138433.0,中
2055,35-39,男,190451.8,中
2055,35-39,女,186938.0,中
2055,40-44,男,219618.3,中
2055,40-44,女,215663.8,中
2055,45-49,男,218375.1,中
2055,45-49,女,217142.4,中
2055,50-54,男,218157.8,中
2055,50-54,女,222427.0,中
2055,55-59,男,247197.9,中
2055,55-59,女,247670.0,中
2055,60-64,男,272167.4,中
2055,60-64,女,282196.8,中
2055,65-69,男,265031.8,中
2055,65-69,女,292736.1,中
2055,70-74,男,245142.4,中
2055,70-74,女,299652.3,中
2055,75-79,男,218717.7,中
2055,75-79,女,295598.3,中
2055,80-84,男,189716.6,中
2055,80-84,女,281109.0,中
2055,85+,男,365160.6,中
2055,85+,女,616274.4,中
2056,0-4,男,75793.6,中
2056,0-4,女,71737.2,中
2056,5-9,男,87548.1,中
2056,5-9,女,83237.0,中
2056,10-14,男,92878.3,中
2056,10-14,女,88669.4,中
2056,15-19,男,97033.0,中
2056,15-19,女,93649.5,中
2056,20-24,男,106236.2,中
2056,20-24,女,103945.9,中
2056,25-29,男,120482.8,中
2056,25-29,女,119137.4,中
2056,30-34,男,132166.7,中
2056,30-34,女,129902.6,中
2056,35-39,男,184871.7,中
2056,35-39,女,181739.7,中
2056,40-44,男,219751.2,中
2056,40-44,女,215682.2,中
2056,45-49,男,220548.8,中
2056,45-49,女,217853.3,中
2056,50-54,男,212927.9,中
2056,50-54,女,218932.6,中
2056,55-59,男,240840.1,中
2056,55-59,女,240218.8,中
2056,60-64,男,272188.5,中
2056,60-64,女,279913.1,中
2056,65-69,男,266572.9,中
2056,65-69,女,289829.2,中
2056,70-74,男,248139.4,中
2056,70-74,女,298925.3,中
2056,75-79,男,218546.5,中
2056,75-79,女,293738.3,中
2056,80-84,男,191053.0,中
2056,80-84,女,281579.6,中
2056,85+,男,368169.7,中
2056,85+,女,628765.5,中
