年份,情景,情景标签,期初资产_亿港元,回报率,回报率_未调eMPF,eMPF费率,投资收益_亿港元,有关入息下限,有关入息上限,缴费人数_万人,带内代表月入_港元,年强制性供款_亿港元,年自愿性供款_亿港元,年总供款_亿港元,新达65岁_万人,人均账户余额_港元,年退休提取_亿港元,年永久离港提取_亿港元,年其他提取_亿港元,年总提取_亿港元,对冲流出_亿港元,对冲流出_pre_亿港元,对冲流出_hybrid_亿港元,对冲流出_post_亿港元,对冲占比_pre,对冲占比_hybrid,对冲占比_post,净现金流_亿港元,期末资产_亿港元,账户数_万个
2020,中,基准,9800.0,0.11620000000000001,0.117,0.0037,1138.76,7100.0,30000.0,283.3811,15958.3,583.1921,204.9053,788.0974,12.032,117600.0,141.4963,99.6799,9.0317,250.2079,26.5588,26.5588,0.0,0.0,1.0,0.0,0.0,511.3307,11450.0907,1000.0
2021,中,基准,11450.0907,-0.0368,-0.036,0.0037,-421.3633,7100.0,30000.0,281.0868,16437.0,589.4514,207.1045,796.5559,12.1777,136718.0,166.4904,89.7119,10.627,266.8293,31.7052,31.7052,0.0,0.0,1.0,0.0,0.0,498.0213,11526.7487,1005.0
2022,中,基准,11526.7487,-0.14579999999999999,-0.145,0.0037,-1680.6,7100.0,30000.0,278.854,16930.1,595.9896,209.4017,805.3913,12.326,136948.0,168.8022,80.7407,10.7746,260.3176,32.5966,32.5966,0.0,0.0,1.0,0.0,0.0,512.4772,10358.6259,1010.025
2023,中,基准,10358.6259,0.0542,0.055,0.0037,561.4375,7100.0,30000.0,276.6201,17438.0,602.6797,211.7523,814.432,12.4693,122457.0,152.6954,72.6667,9.7465,235.1085,29.9035,29.9035,0.0,0.0,1.0,0.0,0.0,549.42,11469.4834,1015.0751
2024,中,基准,11469.4834,0.06920000000000001,0.07,0.0037,793.6883,7100.0,30000.0,274.4736,17961.2,609.7198,214.2259,823.9457,12.6245,134915.0,170.3231,65.4,10.8717,246.5947,33.7861,33.7861,0.0,0.0,1.0,0.0,0.0,543.5649,12806.7365,1020.1505
2025,中,基准,12806.7365,0.059199999999999996,0.06,0.0037,758.1588,7100.0,30000.0,272.3945,18500.0,617.0782,216.8113,833.8895,12.785,149896.0,191.6411,58.86,12.2324,262.7335,31.9748,11.4783,19.1305,1.366,0.359,0.5983,0.0427,539.1812,14104.0766,1025.2513
2026,中,基准,14104.0766,0.049,0.049,0.0029,691.0998,7100.0,30000.0,270.3864,19055.0,624.7744,219.5153,844.2897,12.4935,164259.0,205.2179,48.12,13.099,266.437,30.1052,0.0,27.1688,2.9364,0.0,0.9025,0.0975,547.7475,15342.9238,1030.3775
